;;;;;
;;№;Вопрос;Да/нет;Комментарий
;;I. Безопасность API и интеграций;;;
;;1;Реализованы ли единые политики безопасности для API партнеров?;;Отсутствуют единые политики безопасности при интеграции с API управляющих компаний
;;2;Проводится ли систематический контроль за передаваемыми данными через API?;;Нет системного контроля за данными
;;3;Реализована ли проверка контрактов API на предмет передачи персональных данных?;;Выявлены случаи передачи персональных данных через API
;;4;Внедрены ли механизмы разграничения доступа между разными управляющими компаниями?;;Обнаружены проблемы с доступом к данным других компаний
;;5;Проводится ли аудит действий пользователей через партнерские API?;;
;;II. Защита персональных данных;;;
;;1;Внедрена ли система классификации данных?;;
;;2;Реализованы ли механизмы защиты персональных данных клиентов при онлайн-бронировании?;;
;;3;Обеспечивается ли безопасность при хранении расширенных форм данных клиентов?;;
;;4;Внедрены ли механизмы защиты данных при интеграции с госорганами?;;
;;5;Реализован ли контроль доступа к данным о ЖКУ собственников?;;
;;III. Безопасность данных и аналитика;;;
;;1;Внедрены ли механизмы безопасного хранения данных для BI-систем?;;Компания планирует расширение направления обработки данных
;;2;Реализованы ли политики доступа к аналитическим данным?;;
;;3;Обеспечивается ли безопасность при передаче данных между системами?;;
;;4;Внедрены ли механизмы анонимизации данных для аналитики?;;
;;5;Реализован ли контроль за потоками данных между системами?;;Проблемы с управлением потоками данных
;;IV. Соответствие законодательству;;;
;;1;Проведен ли аудит соответствия процессов требованиям законодательства РФ?;;Требуется проверка
;;2;Внедрены ли механизмы защиты персональных данных согласно 152-ФЗ?;;
;;3;Реализованы ли требования по локализации персональных данных?;;
;;4;Обеспечивается ли соответствие требованиям при интеграции с госорганами?;;
;;5;Проводится ли регулярный аудит соответствия требованиям регуляторов?;;
;;V. Мониторинг и реагирование на инциденты;;;
;;1;Внедрена ли система мониторинга безопасности?;;
;;2;Разработаны ли процедуры реагирования на инциденты безопасности?;;В связи с инцидентами у конкурентов
;;3;Проводится ли регулярное тестирование на проникновение?;;
;;4;Внедрена ли система логирования действий пользователей?;;
;;5;Реализован ли процесс расследования инцидентов безопасности?;;
